V84	0.408
V4	0.193
V20	0.137
V3	0.207
V38	0.517
V76	0.296
V28	0.407
V75	0.23
V78	0.226
V87	0.243
V40	0.219
V46	0.495
V14	0.2
V57	0.658
V45	0.492
V6	0.5
V84	0.408
V4	0.193
V20	0.138
V3	0.209
V38	0.549
V76	0.301
V28	0.463
V75	0.237
V78	0.231
V40	0.244
V46	0.495
V14	0.21
V57	0.66
V45	0.496
V6	0.501
V84	0.423
V4	0.193
V20	0.159
V3	0.228
V38	0.524
V76	0.298
V28	0.453
V75	0.237
V78	0.231
V40	0.244
V46	0.495
V14	0.21
V57	0.658
V45	0.494
V6	0.48
V84	0.335
V4	0.186
V20	0.159
V3	0.227
V65	0.595
V38	0.507
V76	0.298
V28	0.451
V75	0.237
V78	0.224
V40	0.243
V46	0.495
V14	0.172
V57	0.654
V45	0.474
V6	0.419
V84	0.271
V4	0.179
V20	0.151
V3	0.221
V65	0.563
V60	0.553
V38	0.507
V76	0.281
V28	0.449
V75	0.236
V78	0.223
V40	0.228
V46	0.495
V14	0.161
V57	0.63
V45	0.471
V6	0.364
V84	0.238
V4	0.17
V20	0.147
V3	0.196
V65	0.553
V60	0.537
V55	0.253
V38	0.457
V76	0.281
V28	0.445
V75	0.227
V78	0.217
V40	0.217
V46	0.47
V14	0.157
V57	0.628
V45	0.464
V6	0.354
V84	0.215
V4	0.166
V20	0.147
V3	0.19
V65	0.46
V60	0.503
V55	0.243
V11	0.612
V38	0.473
V76	0.284
V28	0.445
V75	0.237
V78	0.226
V40	0.221
V46	0.471
V14	0.163
V45	0.503
V6	0.354
V84	0.216
V4	0.169
V20	0.155
V3	0.2
V65	0.46
V60	0.51
V55	0.253
V11	0.614
V38	0.431
V76	0.283
V28	0.419
V75	0.235
V78	0.221
V40	0.218
V46	0.471
V14	0.147
V45	0.497
V6	0.319
V84	0.209
V4	0.163
V20	0.153
V3	0.2
V65	0.454
V60	0.484
V55	0.246
V11	0.609
V49	0.63
V38	0.432
V76	0.283
V28	0.419
V75	0.25
V78	0.222
V46	0.486
V14	0.151
V45	0.502
V6	0.32
V84	0.216
V4	0.173
V20	0.17
V3	0.224
V65	0.46
V60	0.486
V55	0.266
V11	0.639
V49	0.638
V38	0.401
V76	0.28
V28	0.419
V75	0.246
V78	0.208
V46	0.484
V14	0.15
V45	0.494
V6	0.289
V84	0.184
V4	0.146
V20	0.17
V3	0.213
V65	0.453
V60	0.465
V55	0.258
V11	0.619
V49	0.262
V96	0.24
V38	0.354
V76	0.26
V28	0.414
V75	0.246
V78	0.203
V46	0.48
V14	0.126
V45	0.481
V6	0.283
V84	0.18
V4	0.142
V20	0.161
V3	0.205
V65	0.452
V60	0.463
V55	0.258
V11	0.613
V49	0.228
V96	0.195
V48	0.393
V38	0.344
V76	0.257
V28	0.412
V75	0.245
V78	0.201
V46	0.459
V14	0.117
V45	0.481
V6	0.257
V84	0.176
V4	0.141
V20	0.159
V3	0.204
V65	0.451
V60	0.436
V55	0.246
V11	0.567
V49	0.208
V96	0.189
V48	0.375
V101	0.619
